time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.084,-2.99189,1.45452,74.59641
0.268,-2.93386,1.28258,74.09312
0.459,-2.78563,1.20004,73.32674
0.625,-2.54954,1.20015,72.77377
0.805,-2.27815,1.13511,72.08214
1.006,-2.18683,2.05807,72.66988
1.166,-1.97955,4.05868,74.63728
1.386,-0.87494,5.65528,76.65606
1.527,-0.91545,2.53402,72.87421
1.706,-1.55011,2.43734,71.14026
1.920,-3.71299,1.34403,65.21159
2.066,-4.75900,8.73559,73.44244
2.262,-5.37732,9.94910,74.45672
2.431,-6.59963,13.32462,80.35173
2.607,-8.70787,15.21057,85.48837
2.788,-9.02120,13.78291,88.42739
2.968,-7.42417,10.02889,83.26489
3.148,-6.47929,6.83367,76.93945
3.350,-5.93586,7.43104,75.01730
3.507,-5.77987,5.85976,71.69267
3.693,-5.75112,7.17529,72.50690
3.880,-4.67771,6.73522,71.77008
4.049,-4.58813,6.12194,70.26082
4.261,-5.66628,8.85871,72.78137
4.410,-5.12201,9.91229,74.00282
4.590,-4.21267,7.48205,71.05244
4.791,-4.08683,8.62138,72.19523
4.949,-4.57003,9.42337,72.31812
5.137,-5.65913,11.23196,74.33789
5.327,-4.88398,11.42038,75.01019
5.491,-3.73674,9.65668,73.00071
5.741,-2.93666,7.04964,69.51013
5.850,-2.55966,7.85255,69.30793
6.031,-2.84051,8.17924,68.42422
6.221,-3.22128,8.29284,68.22031
6.391,-4.13219,10.16656,70.57488
6.575,-4.05581,12.24646,74.28807
6.761,-3.93973,10.16430,72.86881
6.935,-3.46845,8.89032,72.11107
7.155,-4.08722,9.21305,72.45254
7.298,-3.46668,8.44291,71.34910
7.472,-3.47892,9.19873,71.94550
7.678,-3.23789,10.47429,72.88028
7.832,-2.22549,10.17786,71.71275
8.018,-3.47496,8.68129,67.04308
8.191,-4.52519,9.01402,65.41454
8.373,-5.81657,9.04469,62.20948
8.584,-6.34039,9.59100,61.15546
8.735,-5.39965,9.94609,63.61385
8.914,-5.51711,10.04869,64.57336
9.103,-5.16912,9.87029,65.94802
9.273,-4.33929,9.08910,66.92863
9.497,-4.54498,7.65136,65.27296
9.635,-5.22223,8.80065,66.54704
9.815,-5.07156,9.59744,67.35532
10.021,-4.63185,9.14507,66.76197
10.174,-5.35565,8.48168,65.58083
10.354,-4.56543,9.18556,66.60085
10.562,-4.70116,9.59693,66.76402
10.717,-6.04060,9.25434,65.55138
10.903,-6.28404,8.56050,64.64781
11.090,-6.63097,8.83176,65.77706
11.255,-7.74510,8.50619,65.89013
11.478,-7.97775,10.41650,70.42620
11.615,-8.28293,11.04813,72.92495
11.795,-7.64999,10.07394,72.26627
12.003,-7.20787,10.27259,73.04541
12.157,-7.38803,10.93673,74.50132
12.343,-7.64164,11.74760,76.51775
12.525,-7.18994,11.75024,77.42371
12.696,-6.39799,10.64726,76.33759
12.878,-6.17523,10.00179,75.45824
13.066,-5.24435,9.32800,73.36772
13.238,-4.66288,9.43935,72.66895
13.438,-4.13202,8.80496,71.27525
13.598,-3.95697,9.32822,71.91652
13.784,-4.79501,10.45092,73.37788
13.968,-4.78151,11.15183,74.80526
14.138,-4.20401,11.20944,76.19574
14.355,-3.98530,10.61031,76.93338
14.498,-5.27727,10.97320,78.52495
14.679,-5.18051,11.99929,81.14790
14.886,-4.69615,12.04032,81.91760
15.039,-4.68012,11.46547,80.81225
15.224,-3.95529,10.44137,78.98138
15.426,-2.75501,8.80623,76.43533
15.580,-3.31139,7.72882,74.58945
15.819,-3.25116,7.90992,73.81956
15.940,-4.03609,9.48581,74.86660
16.121,-3.63778,11.43328,77.17828
16.316,-3.25833,10.68560,75.20787
16.480,-4.10244,10.47436,74.04648
16.667,-3.90379,11.29334,75.14768
16.843,-3.84288,11.83798,75.84236
17.021,-4.48880,11.52794,74.95893
17.224,-3.93763,11.72978,76.15096
17.383,-4.13072,11.29389,77.29562
17.560,-5.36937,9.71034,77.20959
17.761,-2.61687,10.15599,80.18791
17.923,-2.85533,9.90748,80.39141
18.108,-2.72722,9.40762,79.26579
18.298,-1.72252,8.50378,77.13113
18.462,-0.93409,8.00857,75.93205
18.643,-1.34727,7.68254,74.53301
18.822,-1.05367,7.49749,72.10153
19.002,-1.11638,7.21574,70.89207
19.205,-1.72206,8.00628,71.23394
19.363,-0.79843,8.41117,72.48737
19.550,-1.06006,8.58693,72.92147
19.736,-2.90292,6.68585,69.69947
19.903,-3.26777,5.90580,68.55349
20.096,-3.91259,5.41402,67.93713
20.264,-4.20557,5.47497,69.36443
20.444,-6.19642,3.73928,68.74299
20.653,-6.14546,2.61170,68.54686
20.810,-6.39233,1.37074,67.67509
20.985,-5.85844,1.20529,68.55440
21.194,-5.19211,-3.40464,62.14761
21.344,-6.04958,-6.45284,56.60252
21.525,-6.40649,-8.74372,51.96828
21.764,-6.10524,-11.52805,47.75467
21.885,-6.18275,-13.19972,45.64417
22.071,-5.83452,-11.86406,48.17011
22.245,-5.38983,-10.58385,50.34189
22.427,-5.57704,-10.11169,50.11390
22.609,-5.55854,-9.74136,50.71756
22.797,-5.40206,-9.77802,51.07353
22.966,-5.35787,-9.93799,51.27688
23.149,-5.20588,-10.32239,51.03221
23.326,-5.23370,-10.41095,50.84585
23.507,-5.20633,-9.80203,51.36982
