time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.011,0.01772,0.03543,-0.00764
0.011,0.01772,0.03543,-0.00764
0.025,0.01680,0.02260,-0.01649
0.031,0.01955,0.02352,-0.02566
0.031,0.01955,0.02352,-0.02566
0.047,0.01619,0.04337,-0.02902
0.047,0.01619,0.04337,-0.02902
0.050,0.00916,0.04887,-0.03726
0.050,0.00916,0.04887,-0.03726
0.058,0.00305,0.04704,-0.04123
0.058,0.00305,0.04704,-0.04123
0.071,0.00092,0.04276,-0.04123
0.071,0.00092,0.04276,-0.04123
0.078,-0.00061,0.05315,-0.04612
0.090,0.00214,0.05559,-0.02413
0.090,0.00214,0.05559,-0.02413
0.098,0.00641,0.01894,0.00519
0.098,0.00641,0.01894,0.00519
0.110,0.00611,-0.03238,0.01252
0.110,0.00611,-0.03238,0.01252
0.118,0.00519,-0.03818,0.01649
0.118,0.00519,-0.03818,0.01649
0.134,0.01405,-0.03115,0.00947
0.134,0.01405,-0.03115,0.00947
0.134,0.01405,-0.03115,0.00947
0.138,0.01680,-0.00092,0.00122
0.153,0.01405,0.00519,-0.00489
0.153,0.01405,0.00519,-0.00489
0.153,0.01405,0.00519,-0.00489
0.161,0.01252,0.00153,-0.00764
0.164,0.01252,0.00153,-0.00764
0.186,0.01313,0.00336,-0.00825
0.187,0.01313,0.00336,-0.00825
0.187,0.00764,0.00367,-0.00153
0.187,0.00764,0.00367,-0.00153
0.192,0.00641,0.00611,0.00122
0.192,0.00641,0.00611,0.00122
0.200,0.01191,0.00916,0.00031
0.210,0.00916,0.00886,0.00031
0.210,0.00916,0.00886,0.00031
0.219,0.00305,-0.00305,-0.00519
0.219,0.00305,-0.00305,-0.00519
0.230,-0.00214,-0.00214,-0.01161
0.230,-0.00214,-0.00214,-0.01161
0.239,-0.00550,-0.00244,-0.01802
0.239,-0.00550,-0.00244,-0.01802
0.251,-0.01436,-0.00458,-0.03146
0.252,-0.01436,-0.00458,-0.03146
0.259,-0.02077,-0.00428,-0.04184
0.272,-0.02291,0.00764,-0.05040
0.272,-0.02291,0.00764,-0.05040
0.279,-0.02046,0.01527,-0.05925
0.279,-0.02046,0.01527,-0.05925
0.294,-0.02230,0.01924,-0.07086
0.294,-0.02230,0.01924,-0.07086
0.345,-0.03115,0.01955,-0.08460
0.345,-0.03115,0.01955,-0.08460
0.345,-0.02963,0.00428,-0.09927
0.345,-0.02963,0.00428,-0.09927
0.345,-0.02963,0.00428,-0.09927
0.345,-0.02474,0.01252,-0.10049
0.345,-0.03207,0.01283,-0.10140
0.345,-0.03207,0.01283,-0.10140
0.345,-0.06200,0.00519,-0.13592
0.346,-0.06200,0.00519,-0.13592
0.350,-0.09591,-0.00122,-0.21502
0.350,-0.09591,-0.00122,-0.21502
0.359,-0.07666,-0.00580,-0.25412
0.359,-0.07666,-0.00580,-0.25412
0.371,-0.03299,0.01436,-0.27367
0.371,-0.03299,0.01436,-0.27367
0.379,-0.03604,0.04704,-0.28436
0.390,-0.10324,0.06597,-0.23610
0.390,-0.10324,0.06597,-0.23610
0.399,-0.12645,-0.05803,-0.24221
0.399,-0.12645,-0.05803,-0.24221
0.411,-0.11942,-0.11087,-0.38698
0.411,-0.11942,-0.11087,-0.38698
0.419,-0.10996,0.03910,-0.37813
0.424,-0.10996,0.03910,-0.37813
0.484,-0.06414,0.04765,-0.39462
0.485,-0.06414,0.04765,-0.39462
0.485,-0.07697,0.11515,-0.34422
0.485,-0.10079,0.07055,-0.24954
0.485,-0.10079,0.07055,-0.24954
0.485,-0.10812,-0.06261,-0.30665
0.485,-0.10812,-0.06261,-0.30665
0.485,-0.11118,0.01008,-0.30513
0.485,-0.11118,0.01008,-0.30513
0.485,-0.11057,-0.00122,-0.29841
0.485,-0.11057,-0.00122,-0.29841
0.505,-0.09713,-0.01436,-0.35736
0.505,-0.09713,-0.01436,-0.35736
0.505,-0.09713,-0.01436,-0.35736
0.505,-0.09407,0.03207,-0.35094
0.510,-0.09316,0.04979,-0.32865
0.510,-0.09316,0.04979,-0.32865
0.519,-0.10079,0.01924,-0.34819
0.519,-0.10079,0.01924,-0.34819
0.530,-0.11729,0.05101,-0.31307
0.530,-0.11729,0.05101,-0.31307
0.539,-0.10751,0.00825,-0.28466
0.539,-0.10751,0.00825,-0.28466
0.555,-0.08919,-0.01894,-0.27642
0.555,-0.08919,-0.01894,-0.27642
0.559,-0.07636,0.01710,-0.23060
0.595,-0.07086,-0.01955,-0.23091
0.595,-0.07086,-0.01955,-0.23091
0.595,-0.07544,-0.01833,-0.26267
0.595,-0.07544,-0.01833,-0.26267
0.595,-0.07453,0.02566,-0.25595
0.595,-0.07453,0.02566,-0.25595
0.599,-0.06139,0.01527,-0.24374
0.599,-0.06139,0.01527,-0.24374
0.620,-0.04856,0.01619,-0.23305
0.620,-0.04856,0.01619,-0.23305
0.621,-0.04154,0.02718,-0.20892
0.631,-0.03910,0.01130,-0.19242
0.631,-0.03910,0.01130,-0.19242
0.639,-0.02016,0.00519,-0.17165
0.639,-0.02016,0.00519,-0.17165
0.651,-0.00855,0.01527,-0.15211
0.651,-0.00855,0.01527,-0.15211
0.659,0.01436,0.01374,-0.11942
0.677,0.03207,0.01100,-0.09621
0.677,0.03207,0.01100,-0.09621
0.683,0.03207,0.01100,-0.09621
0.683,0.04368,-0.00214,-0.07758
0.736,0.04368,-0.01436,-0.07453
0.737,0.04368,-0.01436,-0.07453
0.737,0.05345,-0.02199,-0.08735
0.737,0.05284,-0.00244,-0.09255
0.737,0.05284,-0.00244,-0.09255
0.737,0.05101,0.00153,-0.10599
0.737,0.05101,0.00153,-0.10599
0.737,0.07208,0.02413,-0.08827
0.737,0.07208,0.02413,-0.08827
0.742,0.08552,0.02566,-0.06261
0.751,0.12248,0.00916,-0.01741
0.751,0.12248,0.00916,-0.01741
0.759,0.16738,0.01527,0.04520
0.759,0.16738,0.01527,0.04520
0.771,0.19273,0.03207,0.13775
0.771,0.19273,0.03207,0.13775
0.779,0.21014,-0.01527,0.19028
0.779,0.21014,-0.01527,0.19028
0.792,0.22297,-0.02199,0.23824
0.792,0.22297,-0.02199,0.23824
0.800,0.24465,-0.04429,0.23793
0.815,0.25198,-0.00183,0.23518
0.815,0.25198,-0.00183,0.23518
0.820,0.25992,0.03971,0.24771
0.820,0.25992,0.03971,0.24771
0.876,0.26450,0.04032,0.28130
0.876,0.26450,0.04032,0.28130
0.876,0.25656,0.03238,0.32620
0.876,0.25656,0.03238,0.32620
0.876,0.25412,0.01680,0.37293
0.876,0.25412,0.01680,0.37293
0.877,0.25412,0.01680,0.37293
0.877,0.25290,0.01863,0.43524
0.877,0.26328,-0.00183,0.48655
0.877,0.26328,-0.00183,0.48655
0.881,0.25870,-0.01313,0.52351
0.882,0.25870,-0.01313,0.52351
0.891,0.24923,-0.03054,0.54672
0.891,0.24923,-0.03054,0.54672
0.899,0.25137,-0.03757,0.55711
0.912,0.24099,-0.03757,0.58185
0.912,0.24099,-0.03757,0.58185
0.919,0.21441,-0.06322,0.58063
0.931,0.20617,-0.06261,0.56749
0.931,0.20617,-0.06261,0.56749
0.939,0.20922,-0.04154,0.58674
0.942,0.20922,-0.04154,0.58674
0.989,0.20342,-0.07758,0.58704
0.990,0.20342,-0.07758,0.58704
0.990,0.19426,-0.06506,0.59346
0.990,0.19426,-0.06506,0.59346
0.990,0.19731,-0.05956,0.62736
0.990,0.19731,-0.05956,0.62736
0.990,0.19548,-0.10079,0.62400
0.997,0.17685,-0.09499,0.61270
0.997,0.17685,-0.09499,0.61270
0.999,0.16005,-0.08980,0.62736
1.011,0.14691,-0.12431,0.61911
1.011,0.14691,-0.12431,0.61911
1.019,0.12981,-0.13286,0.61117
1.019,0.12981,-0.13286,0.61117
1.035,0.11545,-0.15638,0.58215
1.035,0.11545,-0.15638,0.58215
1.035,0.11545,-0.15638,0.58215
1.039,0.09499,-0.15241,0.54367
1.052,0.07025,-0.14325,0.50244
1.052,0.07025,-0.14325,0.50244
1.060,0.05651,-0.14600,0.48564
1.060,0.05651,-0.14600,0.48564
1.075,0.03726,-0.15363,0.43921
1.075,0.03726,-0.15363,0.43921
1.123,0.02138,-0.15211,0.39920
1.123,0.02138,-0.15211,0.39920
1.123,0.00397,-0.16249,0.38179
1.123,0.00397,-0.16249,0.38179
1.123,0.00031,-0.16860,0.32987
1.123,0.00641,-0.10660,0.30818
1.123,0.00641,-0.10660,0.30818
1.123,0.01924,-0.12370,0.31398
1.123,0.01924,-0.12370,0.31398
1.134,0.00825,-0.16616,0.30971
1.134,0.00825,-0.16616,0.30971
1.140,-0.00702,-0.16982,0.27672
1.140,-0.00702,-0.16982,0.27672
1.153,-0.04368,-0.15852,0.25443
1.153,-0.04368,-0.15852,0.25443
1.160,-0.07422,-0.13134,0.22022
1.171,-0.07239,-0.14019,0.16799
1.171,-0.07239,-0.14019,0.16799
1.180,-0.06017,-0.12523,0.11270
1.180,-0.06017,-0.12523,0.11270
1.191,-0.06597,-0.11209,0.07972
1.191,-0.06597,-0.11209,0.07972
1.200,-0.05681,-0.12492,0.02841
1.203,-0.05681,-0.12492,0.02841
1.258,-0.06658,-0.09407,-0.01924
1.258,-0.06658,-0.09407,-0.01924
1.258,-0.06658,-0.09407,-0.01924
1.258,-0.09621,-0.06933,-0.05345
