time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.014,0.02321,0.00367,-0.00183
0.014,0.02321,0.00367,-0.00183
0.015,0.02077,0.00764,-0.00275
0.015,0.02077,0.00764,-0.00275
0.030,0.01802,-0.00031,-0.00153
0.030,0.01802,-0.00031,-0.00153
0.030,0.01802,-0.00031,-0.00153
0.035,0.01222,-0.00580,-0.00825
0.046,0.00550,0.00305,-0.01527
0.046,0.00550,0.00305,-0.01527
0.055,0.00214,0.00550,-0.01710
0.058,0.00214,0.00550,-0.01710
0.066,0.00183,0.00733,-0.01985
0.066,0.00183,0.00733,-0.01985
0.090,0.00153,0.00275,-0.02352
0.090,0.00153,0.00275,-0.02352
0.090,-0.00031,-0.00061,-0.02627
0.090,-0.00031,-0.00061,-0.02627
0.121,-0.00122,-0.00031,-0.02291
0.121,-0.00611,0.00336,-0.02749
0.121,-0.00611,0.00336,-0.02749
0.121,-0.01222,0.00275,-0.03238
0.121,-0.01222,0.00275,-0.03238
0.126,-0.00916,0.00214,-0.02443
0.126,-0.00916,0.00214,-0.02443
0.135,-0.00214,-0.01100,-0.03910
0.135,-0.00214,-0.01100,-0.03910
0.148,-0.00183,0.00550,-0.04948
0.148,-0.00183,0.00550,-0.04948
0.155,-0.00855,0.00764,-0.04246
0.167,-0.01405,-0.00916,-0.05070
0.167,-0.01405,-0.00916,-0.05070
0.175,-0.01405,0.00244,-0.05192
0.175,-0.01405,0.00244,-0.05192
0.189,-0.01130,0.00031,-0.04184
0.189,-0.01130,0.00031,-0.04184
0.215,-0.00611,-0.01191,-0.04765
0.215,-0.00611,-0.01191,-0.04765
0.215,-0.00947,0.00580,-0.03085
0.215,-0.00947,0.00580,-0.03085
0.215,-0.00947,0.00580,-0.03085
0.215,-0.00947,0.00153,-0.02321
0.229,-0.00886,0.00244,-0.02016
0.229,-0.00886,0.00244,-0.02016
0.235,-0.00794,0.00489,-0.00672
0.247,-0.00458,-0.00733,-0.00367
0.247,-0.00458,-0.00733,-0.00367
0.255,-0.00214,-0.00702,0.00947
0.255,-0.00214,-0.00702,0.00947
0.268,-0.00672,-0.00764,0.02260
0.268,-0.00672,-0.00764,0.02260
0.275,-0.00947,-0.01161,0.02169
0.287,-0.00550,-0.00641,0.01283
0.287,-0.00550,-0.00641,0.01283
0.295,-0.00702,-0.00947,0.00183
0.295,-0.00702,-0.00947,0.00183
0.307,-0.01833,-0.01405,-0.01038
0.307,-0.01833,-0.01405,-0.01038
0.316,-0.02627,-0.01161,-0.02413
0.320,-0.02627,-0.01161,-0.02413
0.362,-0.02779,-0.01405,-0.03238
0.362,-0.02779,-0.01405,-0.03238
0.362,-0.02993,-0.00825,-0.03360
0.362,-0.03543,-0.00916,-0.04032
0.362,-0.03543,-0.00916,-0.04032
0.362,-0.04093,-0.01466,-0.05192
0.362,-0.04093,-0.01466,-0.05192
0.367,-0.04490,-0.02321,-0.07483
0.367,-0.04490,-0.02321,-0.07483
0.375,-0.04826,-0.01955,-0.09255
0.375,-0.04826,-0.01955,-0.09255
0.391,-0.04887,-0.00977,-0.08796
0.391,-0.04887,-0.00977,-0.08796
0.391,-0.04887,-0.00977,-0.08796
0.395,-0.04979,-0.00886,-0.07727
0.409,-0.05559,-0.00733,-0.07269
0.409,-0.05559,-0.00733,-0.07269
0.416,-0.05528,-0.01161,-0.08399
0.416,-0.05528,-0.01161,-0.08399
0.434,-0.04368,0.00519,-0.07239
0.434,-0.04368,0.00519,-0.07239
0.436,-0.04398,-0.00367,-0.04490
0.436,-0.04398,-0.00367,-0.04490
0.451,-0.03757,-0.02046,-0.03726
0.451,-0.03757,-0.02046,-0.03726
0.507,-0.03268,-0.00519,-0.02291
0.507,-0.02352,-0.03879,-0.05223
0.507,-0.02352,-0.03879,-0.05223
0.507,-0.02505,-0.01405,-0.08002
0.507,-0.02505,-0.01405,-0.08002
0.507,-0.03146,-0.01222,-0.09316
0.507,-0.03146,-0.01222,-0.09316
0.507,-0.03665,-0.00916,-0.09927
0.507,-0.03665,-0.00916,-0.09927
0.522,-0.03268,-0.01008,-0.09957
0.522,-0.03268,-0.01008,-0.09957
0.522,-0.03268,-0.01008,-0.09957
0.522,-0.03574,-0.00794,-0.10782
0.527,-0.04276,0.00275,-0.07086
0.527,-0.04276,0.00275,-0.07086
0.535,-0.03207,-0.03757,-0.06200
0.535,-0.03207,-0.03757,-0.06200
0.547,-0.01558,-0.00580,-0.02932
0.547,-0.01558,-0.00580,-0.02932
0.555,0.00000,-0.00886,0.01863
0.556,0.00000,-0.00886,0.01863
0.571,0.01466,-0.01894,0.03696
0.571,0.01466,-0.01894,0.03696
0.571,0.01466,-0.01894,0.03696
0.575,0.01863,0.00611,0.05437
0.587,0.02810,-0.00122,0.08186
