time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.012,-0.01955,-0.00031,-0.01985
0.012,-0.01955,-0.00031,-0.01985
0.023,-0.02138,-0.00947,-0.02046
0.023,-0.02138,-0.00947,-0.02046
0.036,-0.02046,-0.01955,0.03299
0.036,-0.02046,-0.01955,0.03299
0.036,-0.02046,-0.01955,0.03299
0.040,0.00000,0.01772,0.04215
0.063,-0.00794,0.13164,-0.03543
0.063,-0.00794,0.13164,-0.03543
0.063,-0.02688,0.07330,-0.02230
0.063,-0.02688,0.07330,-0.02230
0.072,-0.03268,-0.03390,-0.01710
0.072,-0.03268,-0.03390,-0.01710
0.080,-0.02932,-0.04612,-0.00122
0.080,-0.02932,-0.04612,-0.00122
0.093,-0.01772,-0.04948,0.00305
0.093,-0.01772,-0.04948,0.00305
0.100,-0.01710,-0.03268,-0.00122
0.112,-0.01985,-0.02230,-0.00550
0.112,-0.01985,-0.02230,-0.00550
0.120,-0.01772,-0.00825,-0.00336
0.120,-0.01772,-0.00825,-0.00336
0.132,-0.01985,-0.00672,-0.00825
0.132,-0.01985,-0.00672,-0.00825
0.140,-0.02382,-0.01436,-0.01863
0.140,-0.02382,-0.01436,-0.01863
0.153,-0.01863,-0.01405,-0.02810
0.153,-0.01863,-0.01405,-0.02810
0.160,-0.02107,-0.01069,-0.04307
0.174,-0.01802,-0.00672,-0.05956
0.174,-0.01802,-0.00672,-0.05956
0.201,-0.01772,0.00428,-0.06139
0.201,-0.01772,0.00428,-0.06139
0.201,-0.02107,0.00031,-0.06903
0.201,-0.02107,0.00031,-0.06903
0.201,-0.02199,-0.00580,-0.08216
0.202,-0.02199,-0.00580,-0.08216
0.217,-0.01649,-0.00061,-0.08919
0.217,-0.01649,-0.00061,-0.08919
0.217,-0.01649,-0.00061,-0.08919
0.222,-0.01038,0.00794,-0.09927
0.232,-0.01649,0.01466,-0.12370
0.232,-0.01649,0.01466,-0.12370
0.240,-0.02474,0.01741,-0.14936
0.240,-0.02474,0.01741,-0.14936
0.252,-0.02169,0.01833,-0.15333
0.252,-0.02169,0.01833,-0.15333
0.261,-0.01802,0.01130,-0.15699
0.261,-0.01802,0.01130,-0.15699
0.273,-0.01527,0.01802,-0.15974
0.273,-0.01527,0.01802,-0.15974
0.280,-0.01588,0.02841,-0.14478
0.292,-0.01161,0.01497,-0.13928
0.292,-0.01161,0.01497,-0.13928
0.300,-0.00672,0.01772,-0.12675
0.303,-0.00672,0.01772,-0.12675
0.334,0.00275,0.02291,-0.10110
0.334,0.00275,0.02291,-0.10110
0.334,0.00275,0.02291,-0.10110
0.334,0.00794,0.01833,-0.07269
0.335,0.01497,0.01344,-0.04307
0.335,0.01497,0.01344,-0.04307
0.341,0.02046,0.01710,-0.01863
0.352,0.02810,0.00977,-0.00916
0.352,0.02810,0.00977,-0.00916
0.361,0.03543,0.00519,0.00489
0.361,0.03543,0.00519,0.00489
0.372,0.04429,0.00336,0.01527
0.372,0.04429,0.00336,0.01527
0.381,0.04612,0.00336,0.03115
0.381,0.04612,0.00336,0.03115
0.396,0.04856,0.00458,0.02810
0.396,0.04856,0.00458,0.02810
0.397,0.04856,0.00458,0.02810
0.401,0.04948,0.00733,0.01863
0.413,0.04643,0.01802,0.03360
0.413,0.04643,0.01802,0.03360
0.421,0.05223,-0.01252,-0.00183
0.421,0.05223,-0.01252,-0.00183
0.456,0.05101,0.03085,-0.00275
0.456,0.05101,0.03085,-0.00275
0.456,0.04948,0.02535,0.00428
0.456,0.04429,-0.00458,-0.02963
0.456,0.04429,-0.00458,-0.02963
0.463,0.03665,0.02077,-0.04307
0.463,0.03665,0.02077,-0.04307
0.505,0.04429,0.00855,-0.04612
0.505,0.04429,0.00855,-0.04612
0.505,0.03696,0.00000,-0.05864
0.505,0.03696,0.00000,-0.05864
0.505,0.02199,0.01497,-0.05345
0.505,0.02199,0.01497,-0.05345
0.505,0.02352,0.01344,-0.04490
0.515,0.03238,0.01100,-0.03848
0.515,0.03238,0.01100,-0.03848
0.521,0.03757,0.01374,-0.02932
0.532,0.04184,0.00825,-0.01955
0.532,0.04184,0.00825,-0.01955
0.541,0.02993,0.00458,-0.02810
0.541,0.02993,0.00458,-0.02810
0.552,0.02413,0.02321,-0.02230
0.552,0.02413,0.02321,-0.02230
0.564,0.02810,0.00397,-0.03207
0.564,0.02810,0.00397,-0.03207
0.578,0.03665,-0.00183,-0.04184
0.583,0.03665,-0.00183,-0.04184
0.583,0.03665,-0.00183,-0.04184
0.583,0.04093,0.00519,-0.02902
0.593,0.03879,-0.00122,-0.02535
0.593,0.03879,-0.00122,-0.02535
0.643,0.02932,-0.00061,-0.01497
0.643,0.02932,-0.00061,-0.01497
0.643,0.01619,-0.00641,-0.00244
0.643,0.01619,-0.00641,-0.00244
0.644,0.01100,-0.02566,-0.01619
0.644,0.01100,-0.02566,-0.01619
0.644,0.00580,-0.01710,-0.01558
0.644,0.00580,-0.01710,-0.01558
0.644,0.00275,-0.03360,-0.05406
0.653,-0.00916,-0.01313,-0.09132
0.653,-0.00916,-0.01313,-0.09132
0.661,-0.02046,-0.01894,-0.12828
0.661,-0.02046,-0.01894,-0.12828
0.672,-0.02749,-0.02382,-0.16738
0.672,-0.02749,-0.02382,-0.16738
0.681,-0.05162,-0.01588,-0.17593
0.681,-0.05162,-0.01588,-0.17593
0.693,-0.07239,-0.02107,-0.18754
0.693,-0.07239,-0.02107,-0.18754
0.701,-0.08766,-0.03238,-0.20953
0.717,-0.10629,-0.02871,-0.23854
0.717,-0.10629,-0.02871,-0.23854
0.721,-0.12065,-0.04093,-0.27367
0.721,-0.12065,-0.04093,-0.27367
0.774,-0.13989,-0.04307,-0.30635
0.774,-0.13989,-0.04307,-0.30635
0.774,-0.14905,-0.03482,-0.33445
0.774,-0.14905,-0.03482,-0.33445
0.774,-0.15088,-0.02902,-0.34147
0.774,-0.15088,-0.02902,-0.34147
0.774,-0.15088,-0.02902,-0.34147
0.775,-0.15333,-0.03482,-0.33995
0.775,-0.16066,-0.03665,-0.33078
0.775,-0.16066,-0.03665,-0.33078
0.783,-0.16005,-0.04032,-0.31307
0.783,-0.16005,-0.04032,-0.31307
0.793,-0.15608,-0.04490,-0.29505
0.793,-0.15608,-0.04490,-0.29505
0.801,-0.15272,-0.05192,-0.27519
0.802,-0.15272,-0.05192,-0.27519
0.814,-0.14905,-0.05712,-0.25290
0.814,-0.14905,-0.05712,-0.25290
0.821,-0.14264,-0.05528,-0.23030
0.833,-0.13408,-0.05651,-0.20800
0.833,-0.13408,-0.05651,-0.20800
0.841,-0.13195,-0.06597,-0.19792
0.847,-0.13195,-0.06597,-0.19792
0.890,-0.12614,-0.06933,-0.17959
0.890,-0.12614,-0.06933,-0.17959
0.890,-0.11484,-0.06994,-0.16157
0.890,-0.11484,-0.06994,-0.16157
0.890,-0.10843,-0.07025,-0.15577
0.890,-0.10843,-0.07025,-0.15577
0.890,-0.10873,-0.06139,-0.14813
