time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.144,-5.89085,11.63398,-23.30586
0.331,-5.42958,10.88866,-12.32725
0.538,-4.94869,10.03618,-9.52473
0.685,-4.60120,9.21223,-14.91989
0.900,-3.42756,9.01542,-1.03071
1.048,-2.45933,8.78575,29.91775
1.227,-2.76435,8.13491,11.48312
1.419,-3.61889,10.00873,-151.91302
1.585,-3.96058,13.57378,-169.28745
1.773,-4.58437,13.47960,-166.28317
1.948,-3.68460,11.43328,54.30829
2.126,-3.21434,9.80530,60.95222
2.354,-1.68556,9.15120,95.08305
2.493,-1.29855,8.48428,100.80110
2.668,-0.02397,8.37575,110.29702
2.867,0.03953,6.78567,126.16400
3.027,-0.65822,9.34627,149.83415
3.213,-0.57360,11.15304,151.16052
3.407,-1.01516,9.07068,139.79173
3.568,0.12559,9.03760,128.67636
3.749,0.61138,9.15603,125.72940
3.929,0.71510,7.04699,113.52949
4.110,-0.85958,9.01012,125.33765
4.323,-1.39688,13.76133,131.82654
4.468,0.02469,12.44446,113.69977
4.656,0.87158,9.93994,100.91574
4.839,-0.87644,11.68680,99.87812
5.009,-0.80504,9.77712,84.04213
5.228,-0.23070,8.52778,74.97089
5.370,-0.58283,7.52899,66.80714
5.550,-0.65675,5.93269,58.72572
5.753,-0.87124,6.98589,69.31178
5.909,-1.52814,7.27290,74.33255
6.152,-1.05429,7.93422,82.83088
6.308,-1.04990,6.70615,79.41456
6.452,-0.79895,6.89360,89.23441
6.632,-0.54749,7.54654,98.18314
6.823,0.81578,8.34926,103.24700
6.991,1.45125,6.98582,96.27688
7.172,2.00390,7.70190,100.06586
7.352,1.13688,9.06234,108.31473
7.531,0.97581,9.70080,108.19180
7.729,1.63228,10.08048,104.03875
7.892,1.66429,8.84548,90.38725
8.073,1.46904,8.14573,84.66512
8.260,1.48614,8.46283,86.92645
8.432,0.90352,8.84762,86.89919
8.652,1.37951,8.73349,79.79812
8.793,0.84571,7.43138,60.50833
8.974,2.02099,1.98341,41.33414
9.166,2.89011,-4.11898,41.14697
9.333,0.17667,-7.65265,44.72581
9.540,1.22811,-7.74925,85.79619
9.693,-12.76712,8.75262,-177.47896
9.896,-13.61734,8.09619,-179.79070
10.079,-12.13525,7.38005,172.65082
10.236,-10.45387,6.85427,162.65887
10.420,-9.28361,8.23850,146.63017
10.614,-8.43431,7.95365,118.29303
10.774,-6.79604,8.77890,96.56959
10.994,-9.07099,8.29673,88.75864
11.163,-8.98470,8.48677,85.91309
11.317,-8.40025,8.72002,90.02741
11.527,-6.73867,8.48518,69.60013
11.677,-6.09938,7.31178,48.75381
11.857,-3.70631,5.78062,47.25495
12.043,0.14890,4.20633,52.44574
12.215,3.00373,1.63621,53.57832
12.441,1.89464,1.34270,54.06364
12.583,1.22030,0.46816,52.82462
12.757,1.07995,1.76694,60.10445
12.951,0.46972,0.74342,57.28719
13.116,0.40866,1.88351,68.16995
13.299,-3.95553,6.87627,104.33610
13.487,-7.09201,10.83294,69.44111
13.657,-8.65474,12.33103,28.80340
13.840,-9.64546,14.47621,30.24087
14.027,-9.48997,14.32549,34.04013
14.199,-6.14491,13.52404,48.35226
14.403,-1.83498,10.18770,48.94642
14.558,1.50622,3.34228,45.57318
14.787,1.90980,-3.89588,41.23536
14.940,1.97511,-10.31482,38.42761
15.098,-0.24386,-12.31796,37.57870
15.278,0.52822,-9.02617,44.81685
15.459,0.55182,-4.26683,54.26625
15.639,0.03386,-1.44511,61.91947
15.872,-0.79079,2.92631,76.24085
16.019,-2.81645,4.82048,81.03857
16.179,-2.73278,7.26094,84.87773
16.359,-1.55187,8.01211,83.70951
16.545,-1.43873,6.84110,77.30044
16.719,-2.18140,6.10891,72.70209
16.900,-3.88408,5.50830,66.27370
17.080,-4.80989,4.90351,59.17465
17.259,-5.36447,5.74015,58.58582
17.441,-7.42917,7.00588,55.18486
17.620,-8.04998,6.54877,45.10165
17.800,-7.63149,6.39685,46.99039
17.991,-7.66104,6.66158,56.80071
18.165,-7.52958,7.11026,69.16596
18.341,-6.98829,7.23213,76.51325
18.521,-7.16141,7.73147,85.17208
18.701,-8.56328,9.52507,105.23078
18.883,-9.27338,10.30090,118.58691
19.061,-8.34342,9.05783,114.16389
19.241,-7.39111,7.51507,130.26573
19.421,-6.81806,7.48696,139.82092
19.602,-6.56361,7.60730,146.85605
19.782,-6.52820,8.45664,152.90288
19.962,-6.52602,8.98772,155.31522
20.142,-6.50119,9.08832,156.78380
20.323,-7.07311,8.62917,161.65804
20.502,-6.61478,8.53720,161.00768
20.690,-6.89290,8.06627,164.89986
20.894,-6.73620,7.66978,160.32274
21.043,-7.12743,6.71684,158.20988
21.223,-9.84553,5.06133,175.04562
21.404,-9.81978,4.35679,166.98558
21.586,-9.99010,1.27807,147.00255
21.771,-9.59036,-1.72986,105.83036
21.952,-10.07780,-3.09810,126.76669
22.124,-8.45852,-3.89858,115.20396
22.305,-7.80096,-3.72054,121.74707
22.484,-6.72645,-4.34329,116.16400
22.674,-6.08954,-5.37498,109.75933
22.845,-5.62485,-5.36363,116.13175
23.025,-5.62470,-4.78661,127.54674
23.212,-5.60101,-4.30938,131.24271
