time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.010,-0.01924,0.00672,-0.03512
0.019,-0.02474,0.00153,-0.03390
0.019,-0.02474,0.00153,-0.03390
0.027,-0.02657,-0.01252,-0.03299
0.027,-0.02657,-0.01252,-0.03299
0.039,-0.02230,-0.02169,-0.03787
0.039,-0.02230,-0.02169,-0.03787
0.047,-0.00947,-0.01374,-0.06048
0.047,-0.00947,-0.01374,-0.06048
0.062,-0.00061,0.04734,-0.07544
0.062,-0.00061,0.04734,-0.07544
0.062,-0.00061,0.04734,-0.07544
0.067,-0.01313,0.08858,-0.05009
0.082,-0.02169,0.04643,-0.02291
0.082,-0.02169,0.04643,-0.02291
0.087,-0.02169,-0.02291,-0.01313
0.087,-0.02169,-0.02291,-0.01313
0.099,-0.01558,-0.04490,-0.00336
0.099,-0.01558,-0.04490,-0.00336
0.107,-0.01191,-0.04123,-0.00122
0.107,-0.01191,-0.04123,-0.00122
0.120,0.00031,-0.01863,0.00580
0.120,0.00031,-0.01863,0.00580
0.127,0.00519,-0.01008,0.01833
0.139,0.00550,-0.00641,0.02505
0.139,0.00550,-0.00641,0.02505
0.147,0.00947,-0.00122,0.03299
0.147,0.00947,-0.00122,0.03299
0.159,0.01436,-0.00855,0.03910
0.159,0.01436,-0.00855,0.03910
0.167,0.01436,-0.01069,0.04520
0.167,0.01436,-0.01069,0.04520
0.180,0.01252,-0.01466,0.04917
0.180,0.01252,-0.01466,0.04917
0.187,0.01374,-0.01374,0.05528
0.200,0.01833,-0.01222,0.05192
0.200,0.01833,-0.01222,0.05192
0.216,0.01436,-0.00764,0.05467
0.216,0.01436,-0.00764,0.05467
0.219,0.01191,-0.00764,0.05864
0.219,0.01191,-0.00764,0.05864
0.228,0.01222,-0.00550,0.05559
0.228,0.01222,-0.00550,0.05559
0.243,0.01619,-0.00336,0.05834
0.243,0.01619,-0.00336,0.05834
0.243,0.01619,-0.00336,0.05834
0.247,0.01985,-0.00367,0.06536
0.259,0.02016,-0.00825,0.06597
0.259,0.02016,-0.00825,0.06597
0.267,0.01772,-0.00855,0.06872
0.267,0.01772,-0.00855,0.06872
0.280,0.01802,-0.00733,0.08002
0.280,0.01802,-0.00733,0.08002
0.287,0.01497,-0.02321,0.06811
0.287,0.01497,-0.02321,0.06811
0.300,0.01710,-0.01283,0.06261
0.300,0.01710,-0.01283,0.06261
