time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.056,-0.24504,3.05126,78.85242
0.236,-0.31129,3.13299,78.78854
0.416,-0.14481,3.19411,78.87022
0.603,0.22346,3.28579,79.08044
0.787,0.53492,2.11149,77.50051
0.956,0.88133,1.45399,76.76732
1.183,0.77006,2.39988,77.40812
1.318,0.76029,3.74649,78.36102
1.498,0.35327,4.14089,77.98727
1.723,-0.27982,2.92256,75.76776
1.860,-0.07059,4.25277,76.58025
2.037,-0.59935,8.48027,80.62443
2.217,-0.99924,8.63646,79.78678
2.398,-0.86814,9.22533,80.42988
2.584,-1.72716,11.19441,83.35734
2.769,-2.91563,11.40761,83.71844
2.939,-4.12787,12.14293,84.79110
3.120,-4.50233,11.83052,84.26277
3.301,-4.32737,11.99620,84.63042
3.480,-3.17570,10.67259,83.31139
3.681,-2.55119,10.54441,83.66891
3.839,-2.51690,9.69857,82.80346
4.026,-1.80003,9.55216,82.69641
4.212,-1.47168,8.93866,81.86973
4.380,-1.71578,9.15617,82.18176
4.597,-1.67862,10.21073,82.48751
4.740,-1.10683,9.96697,80.14478
4.920,-0.96059,10.10927,78.47061
5.148,-0.98468,11.22984,78.55132
5.281,-1.72514,11.97095,78.21300
5.467,-1.68968,10.21312,74.04847
5.658,-2.77641,12.29074,74.90839
5.822,-4.45094,13.44137,75.31116
6.045,-4.41834,13.61603,75.59814
6.181,-3.56566,13.10664,76.11639
6.361,-2.35877,10.89149,74.60865
6.556,-2.00824,10.21233,74.55354
6.722,-2.21250,11.48390,76.05241
6.917,-3.65520,11.93767,76.45221
7.089,-3.27595,11.24173,75.97443
7.263,-4.20704,11.06724,75.87157
7.482,-4.16532,11.71521,76.92136
7.625,-3.37968,10.51429,75.07286
7.804,-3.14940,10.01140,73.77129
7.983,-4.01821,9.40463,71.13072
8.165,-3.99936,9.97170,71.56120
8.386,-4.59281,9.98312,70.63550
8.525,-5.71474,11.36383,72.51221
8.704,-5.50406,9.32795,69.42355
8.906,-5.89175,11.18583,73.40760
9.065,-6.82732,13.43681,77.00188
9.251,-8.98766,14.87888,79.32829
9.433,-9.76353,16.43677,82.58564
9.605,-9.76206,16.72525,84.13105
9.786,-10.03864,15.79110,83.89491
9.970,-8.80441,14.81987,83.47083
10.146,-8.60111,13.83436,83.15223
10.348,-7.74751,13.58569,84.13467
10.512,-7.14876,11.89665,82.76043
10.693,-6.71755,10.89521,82.92898
10.881,-6.16522,11.21217,87.38981
11.046,-4.32127,8.58643,88.03278
11.260,-3.24204,5.46733,87.17424
11.411,-2.61372,3.75498,91.42426
11.588,-3.11486,2.22539,94.53568
11.792,-2.81630,3.27683,99.21985
11.947,-2.74723,2.26755,96.85429
12.135,-2.78617,4.36571,96.11979
12.326,-3.04672,2.85892,91.80364
12.487,-3.39997,3.73804,91.94100
12.717,-3.08897,4.09351,91.08512
12.849,-3.61757,2.80142,88.15756
13.028,-3.32512,3.20451,88.59237
13.222,-2.45060,0.60955,84.79392
13.390,-3.26219,-1.21934,81.78630
13.574,-2.34236,0.57964,81.70245
13.767,-2.45862,4.76116,82.09604
13.929,-3.76465,10.26487,85.55251
14.153,-6.38336,16.85371,94.21166
14.297,-10.14825,6.98106,73.77050
14.471,-10.59667,6.83166,73.79989
14.669,-10.35981,7.03745,79.47173
14.831,-10.02677,8.45282,87.97173
15.016,-9.16195,7.15305,87.09776
15.190,-8.58721,6.80579,87.85018
15.370,-7.56211,6.91945,88.76373
15.584,-9.99807,7.05795,94.73032
15.733,-9.10034,7.22289,96.19186
15.912,-8.61779,6.35757,95.86615
16.114,-10.10814,7.03512,97.88795
16.271,-10.27142,8.86323,101.29113
16.457,-10.48628,7.94075,99.49782
16.648,-9.78737,7.27379,98.04233
16.813,-8.86323,6.76504,96.90617
17.031,-8.64013,7.14092,97.79052
17.174,-8.65011,8.19800,99.98573
17.353,-9.19087,8.29932,100.72921
17.561,-8.20276,7.91591,100.28286
17.712,-7.92252,8.22964,101.76215
17.901,-8.78872,7.86401,102.47857
18.075,-9.34750,8.71954,104.89922
18.254,-9.79663,8.19961,104.02857
18.475,-10.36233,8.42605,105.12398
18.619,-10.08854,8.84126,106.29192
18.795,-9.97641,8.48544,106.13060
19.000,-9.65133,7.70829,104.74870
19.154,-10.11899,7.12088,102.71004
19.340,-9.39709,8.23269,101.35206
19.524,-10.00732,10.01276,102.22742
19.695,-10.24601,11.22146,102.83654
19.876,-10.12710,10.40961,100.47967
20.065,-10.00872,10.02986,99.13510
20.235,-10.26207,9.68392,98.48864
20.436,-10.38858,9.27890,97.79868
20.595,-10.77167,8.59990,96.69659
20.782,-11.03045,7.91987,95.46047
20.967,-10.87261,7.14372,93.80045
21.135,-10.52938,7.41588,94.52488
21.338,-11.05170,7.17824,95.58620
21.496,-11.06760,5.97695,95.29311
21.677,-10.41401,4.82794,95.23218
21.884,-10.18468,3.00646,94.07841
22.036,-10.15810,0.70024,91.60018
22.217,-9.92196,-0.73240,89.72160
22.397,-9.67139,-3.00572,85.32608
22.578,-9.08545,-3.77559,84.07935
22.798,-8.74599,-3.24234,86.20741
22.937,-8.47970,-3.07564,87.16146
23.117,-8.39461,-3.08621,87.15279
23.312,-8.24114,-3.30407,86.31015
23.478,-8.13885,-2.84012,87.21822
23.664,-7.90555,-2.82379,87.28982
23.838,-7.91392,-2.95452,87.03968
