time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.008,0.02443,0.00275,0.02688
0.008,0.02443,0.00275,0.02688
0.021,0.02627,-0.00275,0.02566
0.021,0.02627,-0.00275,0.02566
0.028,0.02199,-0.00519,0.01497
0.040,0.01924,-0.00977,0.03665
0.040,0.01924,-0.00977,0.03665
0.048,0.02535,0.01436,0.04093
0.048,0.02535,0.01436,0.04093
0.061,0.02199,0.08125,-0.01741
0.061,0.02199,0.08125,-0.01741
0.068,0.01772,0.08369,-0.02169
0.068,0.01772,0.08369,-0.02169
0.090,0.01558,0.06078,0.00855
0.090,0.01558,0.06078,0.00855
0.090,0.01252,0.00244,0.03360
0.100,0.01802,-0.05834,0.02963
0.100,0.01802,-0.05834,0.02963
0.108,0.01497,-0.02902,0.02810
0.108,0.01497,-0.02902,0.02810
0.120,0.01863,-0.00244,0.03635
0.120,0.01863,-0.00244,0.03635
0.129,0.02505,-0.00305,0.03787
0.129,0.02505,-0.00305,0.03787
0.144,0.02596,-0.00183,0.03971
0.144,0.02596,-0.00183,0.03971
0.144,0.02596,-0.00183,0.03971
0.149,0.02474,-0.00183,0.04368
0.160,0.01772,-0.00397,0.05192
0.160,0.01772,-0.00397,0.05192
0.169,0.01344,-0.00367,0.06750
0.169,0.01344,-0.00367,0.06750
0.180,0.01924,-0.00519,0.08766
0.180,0.01924,-0.00519,0.08766
0.189,0.02932,-0.01069,0.10385
0.193,0.02932,-0.01069,0.10385
0.220,0.02352,-0.01222,0.10660
0.220,0.02352,-0.01222,0.10660
0.220,0.01038,-0.01466,0.10018
0.220,0.00672,-0.00733,0.10843
0.220,0.00672,-0.00733,0.10843
0.229,0.00886,-0.01069,0.11148
0.229,0.00886,-0.01069,0.11148
0.240,0.01283,-0.01466,0.11973
0.240,0.01283,-0.01466,0.11973
0.249,0.01222,-0.02291,0.14142
0.249,0.01222,-0.02291,0.14142
0.262,0.01222,-0.03024,0.16463
0.262,0.01222,-0.03024,0.16463
0.269,0.01100,-0.02199,0.18326
0.280,0.01283,-0.02535,0.18234
0.280,0.01283,-0.02535,0.18234
0.289,0.01497,-0.03024,0.16677
0.289,0.01497,-0.03024,0.16677
0.301,0.01008,-0.03757,0.14691
0.301,0.01008,-0.03757,0.14691
0.309,0.00580,-0.03238,0.11912
0.309,0.00580,-0.03238,0.11912
0.326,-0.00122,-0.01680,0.10385
0.331,-0.00122,-0.01680,0.10385
0.331,-0.00122,-0.01680,0.10385
0.331,-0.00458,-0.01955,0.09346
0.343,-0.01252,-0.01588,0.07697
0.343,-0.01252,-0.01588,0.07697
0.386,-0.03024,-0.02321,0.03054
0.386,-0.02199,-0.03024,-0.01374
0.386,-0.02199,-0.03024,-0.01374
0.386,-0.02291,-0.01588,-0.02963
0.386,-0.02291,-0.01588,-0.02963
0.387,-0.02718,-0.02352,-0.08369
0.387,-0.02718,-0.02352,-0.08369
0.391,-0.02810,0.01710,-0.10415
0.400,-0.02443,-0.00611,-0.12248
0.400,-0.02443,-0.00611,-0.12248
0.409,-0.00825,0.00061,-0.15424
0.409,-0.00825,0.00061,-0.15424
0.420,0.00183,0.02046,-0.14416
0.420,0.00183,0.02046,-0.14416
0.429,0.02077,0.00886,-0.12553
0.429,0.02077,0.00886,-0.12553
0.442,0.02718,0.01436,-0.08186
0.442,0.02718,0.01436,-0.08186
0.449,0.03238,0.00275,-0.04215
0.466,0.03054,0.00550,-0.00825
0.466,0.03054,0.00550,-0.00825
0.470,0.03848,-0.00489,0.02046
0.470,0.03848,-0.00489,0.02046
0.538,0.04062,-0.00886,0.03635
0.538,0.04062,-0.00886,0.03635
0.538,0.05101,-0.01008,0.06048
0.538,0.05101,-0.01008,0.06048
0.538,0.05284,-0.00825,0.08552
0.538,0.05284,-0.00825,0.08552
0.538,0.05284,-0.00825,0.08552
0.538,0.04612,-0.01222,0.10049
0.538,0.02993,-0.01558,0.09652
0.538,0.02993,-0.01558,0.09652
0.538,0.02993,-0.02230,0.08216
0.539,0.02993,-0.02230,0.08216
0.543,0.02963,-0.01466,0.07911
0.543,0.02963,-0.01466,0.07911
0.549,0.04246,-0.01283,0.07880
0.562,0.04887,-0.00977,0.08766
0.562,0.04887,-0.00977,0.08766
0.569,0.05040,-0.00733,0.09591
0.580,0.04184,-0.01161,0.11332
0.580,0.04184,-0.01161,0.11332
0.589,0.02596,-0.02382,0.12859
0.590,0.02596,-0.02382,0.12859
0.619,0.02352,-0.02077,0.15088
0.619,0.02352,-0.02077,0.15088
0.619,0.02505,-0.02841,0.17257
0.619,0.02505,-0.02841,0.17257
0.622,0.03054,-0.02871,0.19853
0.622,0.03054,-0.02871,0.19853
0.629,0.03238,-0.01191,0.25962
0.641,0.02871,-0.05223,0.27581
0.641,0.02871,-0.05223,0.27581
0.649,0.02443,-0.06170,0.27947
0.649,0.02443,-0.06170,0.27947
0.661,0.01894,-0.02779,0.32529
0.661,0.01894,-0.02779,0.32529
0.669,0.02535,-0.07453,0.29871
0.669,0.02535,-0.07453,0.29871
0.685,0.02260,-0.03879,0.29627
0.685,0.02260,-0.03879,0.29627
0.685,0.02260,-0.03879,0.29627
0.689,0.01863,-0.05101,0.31307
0.701,0.01802,-0.07147,0.27611
0.701,0.01802,-0.07147,0.27611
0.710,0.00550,-0.02535,0.27489
0.710,0.00550,-0.02535,0.27489
0.727,0.00305,-0.06261,0.24709
0.727,0.00305,-0.06261,0.24709
0.731,0.00122,-0.04917,0.22969
0.793,-0.01558,-0.03665,0.22113
0.793,-0.01558,-0.03665,0.22113
0.794,-0.01558,-0.03665,0.22113
0.794,-0.02107,-0.06200,0.19761
0.794,-0.01008,-0.06720,0.16952
0.794,-0.01008,-0.06720,0.16952
0.794,0.00031,-0.05376,0.16402
0.794,0.00031,-0.05376,0.16402
0.795,0.00550,-0.06109,0.15302
0.795,0.00550,-0.06109,0.15302
0.795,-0.00580,-0.06781,0.14355
0.796,-0.00580,-0.06781,0.14355
0.803,-0.02474,-0.06842,0.12492
0.803,-0.02474,-0.06842,0.12492
0.809,-0.03238,-0.05315,0.11454
0.821,-0.03971,-0.04459,0.09224
0.821,-0.03971,-0.04459,0.09224
0.829,-0.04184,-0.03146,0.06506
0.829,-0.04184,-0.03146,0.06506
0.841,-0.04948,-0.01772,0.05376
0.841,-0.04948,-0.01772,0.05376
0.850,-0.04246,-0.02413,0.05406
0.853,-0.04246,-0.02413,0.05406
0.900,-0.03879,-0.01710,0.06384
0.900,-0.03879,-0.01710,0.06384
0.900,-0.03879,-0.01710,0.06384
0.901,-0.04398,-0.02902,0.06903
0.901,-0.04215,-0.03115,0.07361
0.901,-0.04215,-0.03115,0.07361
0.901,-0.04062,-0.01527,0.08002
0.901,-0.04062,-0.01527,0.08002
0.901,-0.03940,-0.01313,0.08705
0.901,-0.03940,-0.01313,0.08705
0.909,-0.02902,0.00031,0.09499
0.909,-0.02902,0.00031,0.09499
0.922,-0.00977,-0.00183,0.12034
0.922,-0.00977,-0.00183,0.12034
0.929,0.00458,-0.02321,0.12950
0.941,-0.01436,0.00580,0.14172
0.941,-0.01436,0.00580,0.14172
0.950,-0.04765,0.02321,0.14325
0.950,-0.04765,0.02321,0.14325
0.961,-0.06781,0.01161,0.12645
0.962,-0.06781,0.01161,0.12645
0.970,-0.07025,-0.00367,0.11637
0.970,-0.07025,-0.00367,0.11637
0.987,-0.04062,-0.01497,0.11057
0.987,-0.04062,-0.01497,0.11057
0.990,0.00275,-0.03482,0.08980
1.035,-0.00214,-0.01497,0.07117
1.035,-0.00214,-0.01497,0.07117
1.035,-0.03848,0.02657,0.04948
1.035,-0.03848,0.02657,0.04948
1.035,-0.06933,0.04551,0.03390
1.035,-0.06933,0.04551,0.03390
1.035,-0.08155,0.04856,0.03635
1.035,-0.08155,0.04856,0.03635
1.048,-0.08430,0.04093,0.04704
1.048,-0.08430,0.04093,0.04704
1.048,-0.08430,0.04093,0.04704
1.049,-0.08460,0.00000,0.05437
1.061,-0.09071,-0.03146,0.05009
1.061,-0.09071,-0.03146,0.05009
1.069,-0.12828,-0.02230,0.04795
1.069,-0.12828,-0.02230,0.04795
1.081,-0.16616,-0.01772,0.04368
1.081,-0.16616,-0.01772,0.04368
1.089,-0.19395,-0.00305,0.03818
1.089,-0.19395,-0.00305,0.03818
1.103,-0.21350,0.02230,0.03085
1.103,-0.21350,0.02230,0.03085
1.110,-0.19853,0.02260,0.03085
1.122,-0.14569,0.00397,0.05864
1.122,-0.14569,0.00397,0.05864
1.166,-0.09529,-0.01710,0.11942
1.166,-0.09529,-0.01710,0.11942
1.166,-0.08033,-0.03879,0.14416
1.166,-0.08033,-0.03879,0.14416
1.167,-0.08888,-0.02138,0.18845
1.167,-0.08888,-0.02138,0.18845
1.167,-0.11179,0.02291,0.25443
1.167,-0.11179,0.02291,0.25443
1.172,-0.09010,0.00947,0.31490
1.182,-0.05315,-0.01038,0.38118
1.182,-0.05315,-0.01038,0.38118
1.190,-0.02810,-0.05040,0.42913
1.190,-0.02810,-0.05040,0.42913
1.202,-0.00214,-0.05834,0.42577
1.202,-0.00214,-0.05834,0.42577
1.210,0.00855,-0.02474,0.43219
1.210,0.00855,-0.02474,0.43219
1.227,-0.00580,-0.04490,0.45815
1.227,-0.00580,-0.04490,0.45815
1.227,-0.00580,-0.04490,0.45815
1.230,-0.01344,-0.07697,0.45540
1.248,-0.02993,-0.06506,0.42547
1.248,-0.02993,-0.06506,0.42547
1.250,-0.06811,-0.02902,0.39126
1.250,-0.06811,-0.02902,0.39126
1.303,-0.12309,-0.02902,0.37415
1.303,-0.12309,-0.02902,0.37415
1.303,-0.16952,-0.08125,0.33109
1.303,-0.16952,-0.08125,0.33109
1.303,-0.21625,-0.10354,0.27764
1.303,-0.21625,-0.10354,0.27764
1.303,-0.23854,-0.12828,0.21105
1.303,-0.23915,-0.15547,0.16432
1.303,-0.23915,-0.15547,0.16432
1.310,-0.24771,-0.14813,0.05498
1.310,-0.24771,-0.14813,0.05498
1.321,-0.27275,-0.10996,-0.07239
1.321,-0.27275,-0.10996,-0.07239
1.330,-0.31246,-0.07147,-0.18082
1.330,-0.31246,-0.07147,-0.18082
1.343,-0.35064,-0.06506,-0.26053
1.343,-0.35064,-0.06506,-0.26053
1.350,-0.37049,-0.07055,-0.32620
1.362,-0.38026,-0.05834,-0.37782
1.362,-0.38026,-0.05834,-0.37782
1.370,-0.37568,-0.06445,-0.43219
1.374,-0.37568,-0.06445,-0.43219
1.418,-0.37080,-0.07086,-0.46456
1.418,-0.37080,-0.07086,-0.46456
1.418,-0.37202,-0.09316,-0.48197
1.419,-0.37202,-0.09316,-0.48197
1.419,-0.38790,-0.09774,-0.54642
1.419,-0.38790,-0.09774,-0.54642
