time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.013,-0.00489,0.00214,-0.00336
0.013,-0.00489,0.00214,-0.00336
0.022,0.00489,0.00244,0.12981
0.032,0.01649,0.08155,0.15944
0.032,0.01649,0.08155,0.15944
0.040,0.01833,0.13195,0.01772
0.040,0.01833,0.13195,0.01772
0.052,-0.00458,0.12248,-0.02107
0.052,-0.00458,0.12248,-0.02107
0.060,-0.01191,-0.00458,0.01558
0.060,-0.01191,-0.00458,0.01558
0.073,-0.01894,-0.06720,0.00305
0.073,-0.01894,-0.06720,0.00305
0.080,-0.00886,-0.11301,-0.06414
0.092,0.00061,-0.08277,-0.03238
0.092,0.00061,-0.08277,-0.03238
0.100,0.00061,-0.01436,0.01191
0.103,0.00061,-0.01436,0.01191
0.114,0.00153,-0.00244,0.01497
0.114,0.00153,-0.00244,0.01497
0.120,0.00183,-0.00886,0.01191
0.120,0.00183,-0.00886,0.01191
0.135,0.00092,-0.00886,0.01374
0.135,0.00092,-0.00886,0.01374
0.136,0.00092,-0.00886,0.01374
0.140,0.00305,-0.00397,0.01710
0.152,0.00061,-0.00702,0.01313
0.152,0.00061,-0.00702,0.01313
0.160,-0.00489,0.00031,0.01436
0.160,-0.00489,0.00031,0.01436
0.172,-0.00672,-0.00031,0.01619
0.172,-0.00672,-0.00031,0.01619
0.181,-0.01008,-0.00519,0.01252
0.181,-0.01008,-0.00519,0.01252
0.193,-0.00916,-0.00855,0.00733
0.193,-0.00916,-0.00855,0.00733
0.200,-0.01008,-0.00855,0.00397
0.212,-0.01955,-0.01100,-0.00947
0.212,-0.01955,-0.01100,-0.00947
0.220,-0.02963,-0.01680,-0.02413
0.220,-0.02963,-0.01680,-0.02413
0.233,-0.02963,-0.02291,-0.03757
0.233,-0.02963,-0.02291,-0.03757
0.247,-0.03665,-0.01466,-0.04734
0.247,-0.03665,-0.01466,-0.04734
0.253,-0.03910,-0.01374,-0.05437
0.253,-0.03910,-0.01374,-0.05437
0.260,-0.03726,-0.01130,-0.05742
0.272,-0.03512,-0.00733,-0.05498
0.272,-0.03512,-0.00733,-0.05498
0.280,-0.02993,-0.00305,-0.05223
0.280,-0.02993,-0.00305,-0.05223
0.292,-0.02688,0.00825,-0.04795
0.292,-0.02688,0.00825,-0.04795
0.301,-0.03024,0.00336,-0.04246
0.301,-0.03024,0.00336,-0.04246
0.327,-0.02596,-0.00733,-0.03115
0.327,-0.02596,-0.00733,-0.03115
0.327,-0.02596,-0.00733,-0.03115
0.327,-0.02352,-0.01405,-0.02138
0.333,-0.02046,-0.01772,-0.01405
0.333,-0.02046,-0.01772,-0.01405
0.341,-0.02963,-0.02902,-0.05712
0.341,-0.02963,-0.02902,-0.05712
0.353,-0.02749,-0.04551,-0.14233
0.353,-0.02749,-0.04551,-0.14233
0.363,-0.02596,-0.00977,-0.13806
0.369,-0.02596,-0.00977,-0.13806
0.414,-0.02810,-0.00947,-0.10507
0.416,-0.02810,-0.00947,-0.10507
0.416,-0.02657,-0.01374,-0.14478
0.416,-0.04276,0.03512,-0.11912
0.416,-0.04276,0.03512,-0.11912
0.416,-0.04826,-0.02291,-0.13500
0.416,-0.04826,-0.02291,-0.13500
