time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.012,-0.02474,0.01802,-0.04795
0.012,-0.02474,0.01802,-0.04795
0.025,-0.02749,0.01955,-0.04123
0.026,-0.02749,0.01955,-0.04123
0.032,-0.03085,0.01161,-0.04246
0.032,-0.03085,0.01161,-0.04246
0.049,-0.03299,0.00397,-0.03787
0.050,-0.03299,0.00397,-0.03787
0.055,-0.03329,-0.01985,-0.03451
0.055,-0.03329,-0.01985,-0.03451
0.055,-0.03329,-0.01985,-0.03451
0.060,-0.03085,-0.02841,-0.04154
0.072,-0.03054,-0.01283,-0.03665
0.072,-0.03054,-0.01283,-0.03665
0.080,-0.02779,-0.01741,-0.03115
0.080,-0.02779,-0.01741,-0.03115
0.092,-0.02841,-0.01252,-0.03299
0.092,-0.02841,-0.01252,-0.03299
0.100,-0.03238,-0.00886,-0.03482
0.100,-0.03238,-0.00886,-0.03482
0.113,-0.03176,-0.00825,-0.03146
0.113,-0.03176,-0.00825,-0.03146
0.120,-0.03024,-0.00886,-0.04093
0.132,-0.03176,-0.01313,-0.04154
0.132,-0.03176,-0.01313,-0.04154
0.140,-0.03085,-0.01924,-0.03910
0.140,-0.03085,-0.01924,-0.03910
0.154,-0.02749,-0.01069,-0.03879
0.154,-0.02749,-0.01069,-0.03879
0.161,-0.02291,-0.00733,-0.03268
0.185,-0.02321,-0.01069,-0.02657
0.185,-0.02321,-0.01069,-0.02657
0.185,-0.02382,-0.01374,-0.02291
0.193,-0.02138,-0.01497,-0.01405
0.193,-0.02138,-0.01497,-0.01405
0.201,-0.01772,-0.01955,-0.00519
0.201,-0.01772,-0.01955,-0.00519
0.212,-0.01894,-0.02107,0.00397
0.212,-0.01894,-0.02107,0.00397
0.220,-0.01405,-0.01527,0.01405
0.220,-0.01405,-0.01527,0.01405
0.236,-0.01100,-0.01038,0.02382
0.236,-0.01100,-0.01038,0.02382
0.236,-0.01100,-0.01038,0.02382
0.240,-0.01680,-0.01558,0.02841
0.252,-0.01649,-0.01710,0.03482
0.252,-0.01649,-0.01710,0.03482
0.260,-0.01466,-0.02291,0.03482
0.260,-0.01466,-0.02291,0.03482
0.272,-0.01405,-0.02871,0.02963
0.272,-0.01405,-0.02871,0.02963
0.280,-0.01436,-0.02474,0.03696
0.283,-0.01436,-0.02474,0.03696
0.300,-0.01405,-0.02291,0.04643
0.300,-0.01405,-0.02291,0.04643
0.301,-0.01558,-0.02810,0.04673
0.313,-0.00489,-0.02749,0.03268
0.313,-0.00489,-0.02749,0.03268
0.321,-0.00825,0.00000,0.03085
0.321,-0.00825,0.00000,0.03085
0.332,-0.02169,-0.02077,-0.00305
0.332,-0.02169,-0.02077,-0.00305
0.341,-0.02138,-0.01008,-0.01344
0.341,-0.02138,-0.01008,-0.01344
0.354,-0.02046,-0.01252,-0.01680
0.354,-0.02046,-0.01252,-0.01680
0.361,-0.02932,-0.03146,-0.05223
0.372,-0.04398,-0.00519,-0.08522
0.372,-0.04398,-0.00519,-0.08522
0.381,-0.05956,-0.02077,-0.13347
0.381,-0.05956,-0.02077,-0.13347
0.392,-0.05376,-0.01222,-0.15149
0.392,-0.05376,-0.01222,-0.15149
0.401,-0.04337,-0.00489,-0.18387
0.401,-0.04337,-0.00489,-0.18387
0.417,-0.05223,0.02230,-0.19731
0.422,-0.05223,0.02230,-0.19731
0.422,-0.05223,0.02230,-0.19731
0.422,-0.05467,0.00153,-0.20525
0.433,-0.06322,-0.01100,-0.25473
0.433,-0.06322,-0.01100,-0.25473
0.507,-0.07758,0.01466,-0.28405
0.507,-0.07758,0.01466,-0.28405
0.508,-0.07972,0.01741,-0.29780
0.508,-0.07972,0.01741,-0.29780
0.508,-0.07727,0.02779,-0.29841
0.508,-0.06689,0.04032,-0.26725
0.508,-0.06689,0.04032,-0.26725
0.508,-0.06689,0.04032,-0.26725
0.508,-0.05009,0.00855,-0.23640
0.508,-0.04765,-0.00458,-0.21044
0.508,-0.04765,-0.00458,-0.21044
0.508,-0.04398,-0.00764,-0.19853
0.508,-0.04398,-0.00764,-0.19853
0.512,-0.04215,-0.00855,-0.17746
0.512,-0.04215,-0.00855,-0.17746
0.521,-0.04062,-0.00764,-0.16860
0.533,-0.02505,0.00947,-0.13806
0.533,-0.02505,0.00947,-0.13806
0.541,-0.00886,0.00550,-0.11851
0.554,-0.00244,-0.00061,-0.10660
0.554,-0.00244,-0.00061,-0.10660
0.561,-0.00855,0.02138,-0.06017
0.561,-0.00855,0.02138,-0.06017
0.603,-0.00244,0.00489,-0.03879
0.603,-0.00244,0.00489,-0.03879
0.603,0.00183,0.01405,-0.01680
0.603,0.00183,0.01405,-0.01680
0.603,0.01161,0.00825,-0.00061
0.603,0.01161,0.00825,-0.00061
0.603,0.01161,0.00825,-0.00061
0.603,0.02871,0.00000,0.00183
0.613,0.04062,0.00122,0.01558
0.613,0.04062,0.00122,0.01558
0.622,0.04765,-0.00397,0.03390
0.622,0.04765,-0.00397,0.03390
0.633,0.04184,-0.00458,0.05681
0.633,0.04184,-0.00458,0.05681
0.641,0.04673,-0.02474,0.07880
0.641,0.04673,-0.02474,0.07880
0.654,0.05681,-0.00977,0.16738
0.654,0.05681,-0.00977,0.16738
0.661,0.07453,-0.04917,0.21166
0.673,0.08522,-0.04856,0.21564
0.673,0.08522,-0.04856,0.21564
0.682,0.07972,-0.03390,0.25779
0.687,0.07972,-0.03390,0.25779
0.740,0.07147,-0.08949,0.22510
0.740,0.07147,-0.08949,0.22510
0.741,0.05681,-0.05986,0.19120
0.741,0.05681,-0.05986,0.19120
0.741,0.03910,-0.04734,0.17929
0.741,0.03910,-0.04734,0.17929
0.742,0.02841,-0.07391,0.13806
0.742,0.02352,-0.03757,0.13134
0.742,0.02352,-0.03757,0.13134
0.742,0.01894,-0.05253,0.10140
0.742,0.01894,-0.05253,0.10140
0.756,0.01894,-0.03696,0.07239
0.756,0.01894,-0.03696,0.07239
0.761,0.01894,-0.00641,0.03726
0.776,0.00214,0.00275,0.02107
0.776,0.00214,0.00275,0.02107
0.776,0.00214,0.00275,0.02107
0.781,-0.00305,-0.04001,0.00031
0.792,-0.00428,-0.05712,-0.01436
0.792,-0.00428,-0.05712,-0.01436
0.801,-0.00916,-0.05467,-0.05498
0.801,-0.00916,-0.05467,-0.05498
0.817,-0.00947,0.00122,-0.07636
0.817,-0.00947,0.00122,-0.07636
0.859,0.00733,0.01833,-0.06445
0.859,0.00733,0.01833,-0.06445
0.859,0.01741,-0.00153,-0.05345
0.859,0.01741,-0.00153,-0.05345
0.859,0.01588,0.01100,-0.04032
0.859,0.02260,0.00702,-0.00397
0.859,0.02260,0.00702,-0.00397
0.862,0.03390,-0.03024,0.02810
0.873,0.03604,-0.04337,0.05528
0.873,0.03604,-0.04337,0.05528
0.881,0.06017,0.00428,0.07147
0.881,0.06017,0.00428,0.07147
0.894,0.09591,0.04887,0.09163
0.894,0.09591,0.04887,0.09163
0.901,0.11698,0.04215,0.14355
0.913,0.11851,-0.00580,0.23610
0.913,0.11851,-0.00580,0.23610
0.921,0.12737,-0.03757,0.27886
0.921,0.12737,-0.03757,0.27886
0.933,0.15516,-0.03451,0.34880
0.933,0.15516,-0.03451,0.34880
0.941,0.19028,0.01649,0.40378
0.945,0.19028,0.01649,0.40378
1.000,0.19731,0.04704,0.50213
1.000,0.19731,0.04704,0.50213
1.001,0.19731,0.04704,0.50213
1.001,0.21014,-0.00550,0.60018
1.001,0.23121,-0.02077,0.68814
1.001,0.23121,-0.02077,0.68814
1.004,0.25809,0.01191,0.76114
1.005,0.25809,0.01191,0.76114
1.005,0.28039,0.06414,0.86560
1.005,0.28039,0.06414,0.86560
1.005,0.29719,0.05162,0.92516
1.005,0.29719,0.05162,0.92516
1.014,0.33475,0.02596,1.00762
1.014,0.33475,0.02596,1.00762
1.021,0.36011,-0.02138,1.06504
1.047,0.36835,-0.05834,1.07848
1.047,0.36835,-0.05834,1.07848
1.047,0.37935,-0.01100,1.03297
1.047,0.37935,-0.01100,1.03297
1.053,0.37171,0.04948,1.03939
1.053,0.37171,0.04948,1.03939
1.063,0.33598,-0.04062,1.04702
1.063,0.33598,-0.04062,1.04702
1.095,0.31062,-0.10354,1.00671
1.095,0.31062,-0.10354,1.00671
1.095,0.29535,-0.07483,0.98197
1.095,0.26848,-0.07269,0.89003
1.095,0.26848,-0.07269,0.89003
1.124,0.25168,0.00336,0.80726
1.124,0.25168,0.00336,0.80726
1.124,0.23030,0.06903,0.74128
1.124,0.23030,0.06903,0.74128
1.124,0.20464,0.03604,0.67317
1.124,0.20464,0.03604,0.67317
1.138,0.15699,0.02779,0.67623
1.138,0.15699,0.02779,0.67623
1.138,0.15699,0.02779,0.67623
1.141,0.11393,-0.01344,0.65912
1.153,0.09988,-0.00855,0.62033
1.153,0.09988,-0.00855,0.62033
1.162,0.08888,0.02871,0.62644
1.162,0.08888,0.02871,0.62644
1.173,0.06842,0.00153,0.65729
1.173,0.06842,0.00153,0.65729
1.182,0.06475,-0.07117,0.71807
1.182,0.06475,-0.07117,0.71807
1.194,0.09529,-0.13775,0.73670
1.194,0.09529,-0.13775,0.73670
1.202,0.13103,-0.09988,0.68356
1.213,0.11576,0.01741,0.72907
1.213,0.11576,0.01741,0.72907
1.222,0.09774,-0.06048,0.75045
1.224,0.09774,-0.06048,0.75045
1.278,0.08460,-0.07575,0.74892
1.278,0.08460,-0.07575,0.74892
1.278,0.07117,-0.06536,0.74953
1.278,0.03512,-0.08827,0.72540
1.278,0.03512,-0.08827,0.72540
1.278,0.00702,-0.10293,0.68386
1.278,-0.00764,-0.05467,0.68570
1.278,-0.00764,-0.05467,0.68570
1.282,-0.01252,-0.05864,0.69455
1.293,-0.02841,-0.05406,0.73273
1.293,-0.02841,-0.05406,0.73273
1.302,-0.04398,-0.09591,0.76328
1.302,-0.04398,-0.09591,0.76328
1.317,-0.04734,-0.10965,0.78007
1.317,-0.04734,-0.10965,0.78007
1.317,-0.04734,-0.10965,0.78007
1.322,-0.03787,-0.09163,0.80176
1.334,-0.03390,-0.09102,0.80970
1.334,-0.03390,-0.09102,0.80970
1.342,-0.02688,-0.08919,0.83566
1.342,-0.02688,-0.08919,0.83566
1.357,-0.01863,-0.09774,0.86193
1.357,-0.01863,-0.09774,0.86193
1.362,-0.01741,-0.10751,0.85765
1.362,-0.01741,-0.10751,0.85765
1.409,-0.00672,-0.05559,0.87751
1.409,-0.00672,-0.05559,0.87751
1.409,0.00764,-0.03054,0.93585
1.410,0.03390,-0.08552,0.96333
1.410,0.03390,-0.08552,0.96333
1.410,0.05009,-0.08430,0.96517
1.410,0.05009,-0.08430,0.96517
1.415,0.05345,-0.08766,0.95692
1.415,0.05345,-0.08766,0.95692
1.422,0.05101,-0.09499,0.91080
1.422,0.05101,-0.09499,0.91080
1.434,0.02627,-0.06903,0.86315
1.434,0.02627,-0.06903,0.86315
1.442,-0.00458,-0.04795,0.80298
1.453,-0.01955,-0.07422,0.67623
1.453,-0.01955,-0.07422,0.67623
1.462,-0.04520,-0.06811,0.53237
1.462,-0.04520,-0.06811,0.53237
1.473,-0.08063,-0.04184,0.39034
1.473,-0.08063,-0.04184,0.39034
1.482,-0.11820,-0.00733,0.26389
1.487,-0.11820,-0.00733,0.26389
1.499,-0.15455,-0.02688,0.15088
1.499,-0.15455,-0.02688,0.15088
1.499,-0.15455,-0.02688,0.15088
1.545,-0.17929,-0.04612,0.10263
1.545,-0.25168,-0.03879,0.00214
1.545,-0.25168,-0.03879,0.00214
1.545,-0.33506,-0.01436,-0.09621
1.545,-0.33506,-0.01436,-0.09621
1.545,-0.38973,-0.02718,-0.20097
1.545,-0.38973,-0.02718,-0.20097
1.545,-0.42455,-0.02016,-0.27214
1.546,-0.42455,-0.02016,-0.27214
1.555,-0.44104,-0.03635,-0.34636
1.555,-0.44104,-0.03635,-0.34636
1.562,-0.44196,0.00397,-0.39126
1.574,-0.43891,0.00397,-0.40653
1.574,-0.43891,0.00397,-0.40653
1.582,-0.43799,0.00611,-0.46701
1.582,-0.43799,0.00611,-0.46701
1.594,-0.48014,0.06078,-0.50946
1.594,-0.48014,0.06078,-0.50946
1.602,-0.51557,-0.03940,-0.60567
1.602,-0.51557,-0.03940,-0.60567
1.619,-0.49877,-0.11790,-0.70555
1.619,-0.49877,-0.11790,-0.70555
1.622,-0.43646,-0.14630,-0.82894
1.676,-0.47098,-0.04307,-0.92699
1.676,-0.47098,-0.04307,-0.92699
1.676,-0.58948,0.09713,-0.86834
1.676,-0.58948,0.09713,-0.86834
1.676,-0.59834,-0.02474,-0.89309
1.676,-0.59834,-0.02474,-0.89309
1.677,-0.54856,-0.02199,-0.92546
1.679,-0.54856,-0.02199,-0.92546
1.679,-0.52901,-0.02016,-0.99571
1.679,-0.52901,-0.02016,-0.99571
1.679,-0.52901,-0.02016,-0.99571
1.688,-0.51618,-0.12431,-1.21379
1.693,-0.60048,-0.06750,-1.33474
1.693,-0.60048,-0.06750,-1.33474
1.702,-0.72449,-0.07178,-1.36009
1.702,-0.72449,-0.07178,-1.36009
1.713,-0.74006,-0.14508,-1.48074
1.713,-0.74006,-0.14508,-1.48074
1.722,-0.71196,-0.02046,-1.53174
1.722,-0.71196,-0.02046,-1.53174
1.735,-0.66981,0.03451,-1.56351
1.735,-0.66981,0.03451,-1.56351
1.742,-0.64141,-0.00916,-1.59069
1.796,-0.59498,-0.01405,-1.60505
1.796,-0.59498,-0.01405,-1.60505
1.796,-0.58307,0.03024,-1.50670
1.796,-0.58307,0.03024,-1.50670
1.796,-0.57574,0.00183,-1.43401
1.796,-0.57574,0.00183,-1.43401
1.796,-0.54153,-0.06017,-1.41354
1.796,-0.54153,-0.06017,-1.41354
1.796,-0.50519,0.01985,-1.31611
1.796,-0.50519,0.01985,-1.31611
1.803,-0.45051,0.04215,-1.23975
1.814,-0.34147,-0.11240,-1.45294
1.814,-0.34147,-0.11240,-1.45294
1.822,-0.36346,0.11484,-1.52594
1.822,-0.36346,0.11484,-1.52594
1.834,-0.59529,0.19090,-1.40988
1.834,-0.59529,0.19090,-1.40988
1.842,-0.63408,-0.02749,-1.36345
1.842,-0.63408,-0.02749,-1.36345
1.858,-0.42486,0.02749,-1.33688
1.858,-0.42486,0.02749,-1.33688
1.858,-0.42486,0.02749,-1.33688
1.862,-0.28161,0.20464,-1.17042
1.877,-0.20311,0.08491,-1.09620
1.877,-0.20311,0.08491,-1.09620
1.925,-0.22235,0.04612,-1.06963
1.925,-0.22235,0.04612,-1.06963
1.926,-0.26573,0.09316,-1.00732
1.926,-0.26573,0.09316,-1.00732
1.926,-0.28466,0.08277,-0.96272
1.926,-0.28466,0.08277,-0.96272
1.926,-0.29108,0.05651,-0.92668
1.926,-0.29108,0.05651,-0.92668
1.926,-0.25137,0.09194,-0.88362
1.938,-0.17807,0.11301,-0.75503
1.938,-0.17807,0.11301,-0.75503
1.942,-0.07850,0.03360,-0.68142
1.954,-0.02963,0.10293,-0.61148
1.954,-0.02963,0.10293,-0.61148
1.962,-0.01527,0.14111,-0.49388
1.962,-0.01527,0.14111,-0.49388
1.975,-0.00611,0.09438,-0.38118
1.975,-0.00611,0.09438,-0.38118
1.982,0.00458,0.11332,-0.24190
1.994,0.08338,0.12095,-0.18051
1.994,0.08338,0.12095,-0.18051
2.003,0.18143,0.14050,-0.05498
2.007,0.18143,0.14050,-0.05498
2.015,0.22510,0.11026,0.08002
2.015,0.22510,0.11026,0.08002
2.063,0.26420,0.07239,0.18326
2.063,0.26420,0.07239,0.18326
2.063,0.29535,0.12462,0.32834
2.063,0.29535,0.12462,0.32834
2.063,0.29535,0.12462,0.32834
2.064,0.35186,0.09774,0.45968
2.064,0.39798,0.09621,0.59682
2.064,0.39798,0.09621,0.59682
2.064,0.41447,0.06842,0.67745
2.064,0.41447,0.06842,0.67745
2.074,0.42730,0.06322,0.68570
2.075,0.42730,0.06322,0.68570
2.089,0.45082,0.08522,0.78985
2.089,0.45082,0.08522,0.78985
2.095,0.43677,0.00977,0.93737
2.095,0.43677,0.00977,0.93737
2.102,0.47312,-0.03482,0.86712
2.114,0.47770,0.21533,0.87201
2.114,0.47770,0.21533,0.87201
2.122,0.45723,0.17165,0.89950
2.122,0.45723,0.17165,0.89950
2.138,0.40714,0.05712,0.87476
2.138,0.40714,0.05712,0.87476
2.143,0.34270,0.01924,0.73487
2.143,0.34270,0.01924,0.73487
2.190,0.29535,0.07941,0.60873
2.190,0.29535,0.07941,0.60873
2.190,0.26634,0.04062,0.57299
2.190,0.20159,-0.00580,0.47586
2.190,0.20159,-0.00580,0.47586
2.190,0.14691,-0.03543,0.33506
2.190,0.14691,-0.03543,0.33506
2.194,0.08827,-0.02657,0.15791
2.194,0.08827,-0.02657,0.15791
2.203,0.01985,0.00122,-0.05437
2.203,0.01985,0.00122,-0.05437
2.218,-0.02841,0.06964,-0.16157
2.218,-0.02841,0.06964,-0.16157
2.219,-0.02841,0.06964,-0.16157
2.222,-0.09071,0.00519,-0.22663
2.234,-0.12859,-0.05803,-0.28405
2.234,-0.12859,-0.05803,-0.28405
2.243,-0.19151,-0.02535,-0.36408
2.243,-0.19151,-0.02535,-0.36408
2.255,-0.20525,-0.00244,-0.43982
2.255,-0.20525,-0.00244,-0.43982
2.263,-0.20342,-0.02077,-0.51588
2.267,-0.20342,-0.02077,-0.51588
2.276,-0.21777,-0.02993,-0.56658
2.276,-0.21777,-0.02993,-0.56658
2.327,-0.22388,-0.00153,-0.58124
2.327,-0.21258,-0.00458,-0.52290
2.327,-0.21258,-0.00458,-0.52290
2.327,-0.17135,-0.05376,-0.48961
2.327,-0.17135,-0.05376,-0.48961
2.328,-0.16280,-0.00244,-0.46151
2.328,-0.16280,-0.00244,-0.46151
2.328,-0.16524,-0.00977,-0.39431
2.328,-0.16524,-0.00977,-0.39431
2.338,-0.12798,-0.04429,-0.34758
2.338,-0.12798,-0.04429,-0.34758
2.342,-0.06658,0.00305,-0.26267
2.354,-0.02443,0.00092,-0.15394
2.354,-0.02443,0.00092,-0.15394
2.362,0.00916,-0.02749,-0.09621
2.362,0.00916,-0.02749,-0.09621
2.374,0.04123,0.03635,-0.02627
2.374,0.04123,0.03635,-0.02627
2.382,0.07483,0.01405,0.03940
2.382,0.07483,0.01405,0.03940
2.399,0.10354,-0.00428,0.05803
2.404,0.10354,-0.00428,0.05803
2.404,0.10354,-0.00428,0.05803
2.404,0.11851,0.05895,0.08399
2.458,0.15211,0.05131,0.15608
2.458,0.15211,0.05131,0.15608
2.458,0.16982,-0.01374,0.15088
2.458,0.16982,-0.01374,0.15088
2.458,0.17043,0.03879,0.15272
2.458,0.17043,0.03879,0.15272
2.458,0.17410,0.04276,0.21441
