time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.140,-0.56918,3.95588,75.54337
0.320,-0.16651,3.64934,76.60945
0.525,0.43256,2.83231,76.80959
0.711,0.72649,2.74223,77.78410
0.860,1.32062,3.67129,80.25925
1.048,-0.15408,6.00778,84.20115
1.221,-1.12250,9.40594,89.86404
1.401,-1.68686,10.58240,92.67156
1.626,-0.58230,9.00384,90.97695
1.764,1.19541,8.21176,90.23061
1.942,1.22327,5.02274,85.33736
2.150,1.21692,6.77104,87.24432
2.303,0.11759,10.49442,91.45631
2.488,-1.77623,14.93699,97.81094
2.673,-2.80831,13.74885,96.18749
2.842,-2.68694,12.04774,94.17567
3.024,-2.40127,11.00082,92.67654
3.206,-1.87418,10.27255,91.55981
3.384,-1.59109,11.18115,93.07759
3.585,-1.07389,11.00767,92.53252
3.743,-0.88100,10.72507,91.69438
3.947,-0.53774,10.82357,91.23183
4.115,0.38071,9.48010,88.48183
4.283,0.55646,9.16030,87.21205
4.471,0.88373,9.65019,86.89577
4.650,0.10517,9.30958,85.59218
4.824,-0.47767,11.33794,87.99669
5.051,0.14804,10.70953,86.57491
5.190,0.54803,9.65039,84.91455
5.365,0.64033,9.41564,84.12589
5.566,0.81744,9.93670,83.27924
5.725,0.38054,10.93873,82.65285
5.906,0.14265,12.17189,82.45705
6.087,-1.26129,11.44592,79.37876
6.267,-1.38165,12.41980,79.81160
6.476,-1.76796,11.76993,78.71769
6.626,-1.56827,12.02416,79.86134
6.807,-0.45136,9.02160,77.08917
6.993,-0.72263,7.71143,75.52898
7.167,-0.64609,11.22094,80.11662
7.348,0.17469,10.40014,78.19868
7.534,0.17759,10.27926,77.17202
7.707,-0.83931,10.43769,75.67484
7.909,-1.23631,10.54300,74.04290
8.067,-1.90930,11.82942,74.22359
8.253,-1.86721,13.23999,75.28967
8.441,-1.77805,12.78063,73.47233
8.608,-0.22207,12.55463,73.75650
8.821,-0.62049,11.53654,73.08660
8.969,-0.73225,10.56373,72.86696
9.149,-0.56665,9.88003,73.75790
9.350,-0.11265,9.53397,75.36398
9.509,0.29678,8.59408,75.49297
9.696,1.40475,9.20141,76.85110
9.884,0.80957,10.96691,78.13301
10.050,0.01249,12.08735,78.21679
10.269,-0.51823,11.01908,75.38781
10.409,-1.56816,13.63044,75.84997
10.590,-5.69766,19.14949,82.83306
10.779,-9.87170,22.30960,88.94761
10.950,-10.71593,22.67531,96.14198
11.136,-7.70364,20.63386,96.73404
11.333,-6.38691,19.15899,97.77511
11.491,-3.82680,15.97426,97.10737
11.712,-2.66460,14.03446,99.64827
11.857,0.32470,8.77205,95.81251
12.032,1.13385,1.55371,87.30458
12.229,1.44353,-0.76669,84.68483
12.392,-0.29527,-2.29554,82.44424
12.579,-0.51699,-1.37433,83.10294
12.761,-0.38416,0.17460,83.89079
12.932,-0.31481,2.54545,86.02184
13.114,-1.22467,2.94269,85.07027
13.294,-1.26489,3.94831,85.46581
13.474,-0.22139,4.51020,85.81425
13.684,0.87821,-0.71392,77.65340
13.833,1.16236,-2.95627,75.21503
14.019,-0.25679,-8.63145,65.90624
14.208,-1.12974,-8.37394,55.72852
14.373,-0.16987,1.83849,58.49634
14.588,-4.52669,14.23686,68.08052
14.737,-10.37144,20.67518,79.27444
14.915,-11.72721,21.08471,80.54251
15.121,-11.82564,21.00142,81.85036
15.279,-10.57949,18.76686,85.95638
15.465,-7.93306,15.98642,84.82697
15.654,-7.12008,15.03082,84.35374
15.814,-6.94375,14.47994,85.52738
16.038,-5.75521,12.56904,85.25314
16.179,-4.35531,9.74716,82.77007
16.356,-3.79271,8.53451,82.21370
16.559,-3.09619,7.93668,81.86338
16.717,-3.02920,7.50450,81.58160
16.898,-3.31999,9.01402,83.82392
17.085,-3.67062,8.89107,83.23940
17.256,-3.98982,9.43572,83.17426
17.438,-4.47357,9.96201,83.34415
17.621,-4.68283,9.40437,82.23537
17.796,-4.30516,9.70337,82.85813
17.979,-4.08184,8.80006,82.19746
18.158,-4.24047,8.23552,82.32297
18.344,-3.92956,7.94781,82.53872
18.523,-4.18203,7.08027,81.61153
18.704,-4.00535,10.08990,86.71464
18.888,-4.45231,10.23431,86.18828
19.059,-4.24432,9.62803,85.15962
19.239,-3.72719,9.60644,86.50948
19.441,-3.71241,9.15647,87.20544
19.599,-3.80095,9.58381,88.49325
19.781,-4.99147,9.64607,89.46761
19.978,-5.68335,9.09089,89.97819
20.140,-6.01212,9.42502,91.78335
20.356,-7.59165,9.25245,92.87971
20.500,-7.55135,9.69950,95.35540
20.679,-7.46222,9.09902,96.90173
20.870,-7.25887,8.50738,98.32968
21.040,-7.71578,7.30293,98.54202
21.220,-14.08684,7.07882,102.93363
21.400,-13.47443,6.99866,103.24651
21.581,-15.21977,5.98592,102.63049
21.767,-15.16568,5.96291,103.45370
21.942,-16.14775,5.28928,102.66444
22.121,-15.28533,4.65161,101.47526
22.300,-15.64504,3.96612,101.53886
22.497,-13.94799,3.77702,101.64511
22.661,-12.17016,2.93726,100.22578
22.842,-11.51769,1.97201,99.15591
23.044,-10.71435,0.57550,96.65833
23.201,-9.87822,0.60785,97.38941
23.419,-9.17242,0.23201,96.98231
23.562,-8.54768,-0.96913,94.29066
23.742,-8.14684,-1.33422,93.39616
